Unnamed: 0,B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
B_nihoa_A_2673,0.0,0.0,0.14190913730000002,0.1439509954,0.14190913730000002,0.0,0.1365030675,0.0,0.0,0.1348911312,0.0,0.1451697128,0.1460674157,0.0,0.1383358857,0.1388463502,0.0,0.1378958121,0.0,0.0,0.1460615545,0.1327207759,0.1373149566,0.0
B_nihoa_B_2673,0.0,0.0,0.0,0.0,0.1417759839,0.14913232099999998,0.1369378474,0.12661498710000002,0.1386036961,0.0,0.1449200619,0.1455108359,0.1458859162,0.1466127401,0.0,0.1387487386,0.0,0.1378091873,0.0,0.1502079002,0.1463917526,0.0,0.0,0.0
B_kauaiensis_A_2673,0.14190913730000002,0.0,0.0,0.0,0.0977822581,0.0,0.0,0.0,0.0,0.0,0.0726429675,0.0731958763,0.0892586989,0.0888888889,0.0,0.0892137097,0.0,0.0892586989,0.0,0.0929387331,0.0,0.1456653226,0.138608871,0.1533875339
B_kauaiensis_B_2673,0.1439509954,0.0,0.0,0.0,0.0,0.1045503792,0.0444220091,0.0387196696,0.0,0.0,0.0,0.0711340206,0.0,0.0,0.0,0.0897177419,0.0897629854,0.0,0.0,0.0919003115,0.0,0.0,0.140625,0.1528455285
B_unica_A_2673,0.14190913730000002,0.1417759839,0.0977822581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0979381443,0.0,0.08686868689999999,0.0816532258,0.0,0.0832072617,0.0,0.0,0.0903426791,0.0926879506,0.0,0.0,0.1517615176
B_unica_B_2673,0.0,0.14913232099999998,0.0,0.1045503792,0.0,0.0,0.1014650027,0.08698060939999999,0.0976821192,0.0,0.1064891847,0.0,0.0910569106,0.0,0.0,0.0888407367,0.0894308943,0.0,0.0959349593,0.0,0.0997782705,0.1500541712,0.139219935,0.0
B_parvula_A_2673,0.1365030675,0.1369378474,0.0,0.0444220091,0.0,0.1014650027,0.0,0.0,0.0,0.0635170604,0.0,0.0784718637,0.0,0.0,0.0926853707,0.0,0.0924242424,0.0,0.096048024,0.0962038482,0.0,0.1495,0.132,0.0
B_parvula_B_2673,0.0,0.12661498710000002,0.0,0.0387196696,0.0,0.08698060939999999,0.0,0.0,0.0546505518,0.0,0.0,0.0649762282,0.0,0.0747567844,0.074795082,0.0,0.07644628099999999,0.0754132231,0.0803069054,0.0,0.0,0.0,0.0,0.1431705979
B_molokaiensis_A_2673,0.0,0.1386036961,0.0,0.0,0.0,0.0976821192,0.0,0.0546505518,0.0,0.000524109,0.0,0.0628865979,0.085171883,0.0,0.0866666667,0.0,0.0856410256,0.0866666667,0.0903027193,0.0,0.0906282183,0.1533333333,0.1374358974,0.0
B_molokaiensis_B_2673,0.1348911312,0.0,0.0,0.0,0.0,0.0,0.0635170604,0.0,0.000524109,0.0,0.0609563847,0.0,0.0828526481,0.0823714586,0.0833333333,0.0,0.0828092243,0.0,0.0,0.0,0.0,0.1504192872,0.0,0.158281515
